Titles,w,SD_F_AB_nCi_2_SS1_C_LGP[1;2;6]_a_MAS,MN_B_AB_nCi_2_SS4_T_KA_r-m_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_SS1_X_LGP[1;2;6]_v-e_MAS,V_F_AB_nCi_2_NS2_T_LGP[2-4]_v_MAS,N2_B_AB_nCi_2_MP6_T_LGP[4-6]_a-r_MAS,S_F_AB_nCi_2_NS4_C_LGP[2-4]_a_MAS,MN_B_AB_nCi_2_NS3_C_LGP[1]_c-p_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,E
A_4_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofil,0.054622619,0.065188675,1.997846469,969.8270976,15.73541297,1666.08868,0.021579102,-2.350692645,-1.1462047,64.54340209,1.043708971,1.30431177,-13.88
A_41_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.07626075,0.323068366,1.104787437,206.3709784,16.45767355,392.3454917,0.026273256,-2.825672673,-12.08063347,60.86014562,0.347224699,1.218975349,-19.17
A_42_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.054487528,0.151378092,2.37251319,163.4274429,16.978375,449.4990473,0.037876247,-0.884769263,-10.16860624,60.82034908,0.310875035,1.790076812,-23.01
A_43_00001,0.050229096,0.067982111,2.241446974,196.4850654,17.18386013,646.1861862,0.02736739,-1.954834447,-8.067263556,21.10142034,0.123411432,0.966794729,-15.09
A_44_00001,0.053005191,0.074832522,1.998564549,193.6522844,17.16555584,733.6619945,0.025122286,-3.222637637,-8.010760487,21.35335329,0.239298785,0.621215928,-13.05
A_46_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.046170716,0.030748853,2.73856255,130.5655842,13.43070313,840.0267385,0.022858996,-4.682693837,-9.414163212,26.64281021,0.052976299,0.386815544,-15.89
A_47_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.052347419,0.285384388,2.087809321,340.0947175,16.64451699,420.3673571,0.036607554,-0.60728346,-13.54607043,29.87057174,0.208041027,2.89593112,-14.22
A_74_00001,0.110465085,0,0.865747285,0,18.55761104,577.598785,0.027208687,0,0,0,0,0,-5.06
A_79_00001,0.048478049,0.341514434,1.604395659,466.1767917,16.84726368,620.5415322,0.042567814,-1.532061476,-10.28597496,53.11925635,0.714556991,2.986902068,-13.28
A_80_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.049141035,0.211981907,1.555496934,382.9546894,21.20592243,748.7456863,0.078239481,-1.357392622,-11.30426128,56.63457788,0.678013129,3.151392556,-13.9
A_81_00001,0.056945608,0.417304683,1.700036828,393.5188758,17.94920514,937.8497974,0.068770716,-1.229671285,-9.610454425,56.60036625,0.700042948,2.953480237,-14.91
A_82_00001,0.046521738,0.187195369,1.63028514,440.8902418,18.39762405,487.9378889,0.048417421,-2.121702243,-11.38210328,54.45719751,0.686984248,2.917666527,-15.38
A_83_00001,0.054105912,0.454490923,1.592880376,521.7572978,17.94920514,1506.610003,0.059321358,-1.614441494,-10.87005538,70.14224747,0.81150105,2.366833096,-14.9
A_85_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.103583968,0,0.926692343,0,16.2091188,341.3133257,0.003976732,0,0,0,0,0,-13.19
A_88_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.037734885,0.27204789,2.435528912,142.3706903,16.7218939,397.5869964,0.049141298,-1.374092046,-10.00172566,37.40148265,0.419346568,2.467706737,-18.2
A_93_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.034447492,0.273172973,2.372587135,77.12871036,16.74121668,240.2911929,0.07737282,-1.027009116,-9.715122567,36.21364247,0.466756347,2.407116136,-18.4
A_98_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.077979912,0.083966904,2.643331051,1243.814794,19.17619465,1560.78664,0.098090087,0.936621872,-18.90529137,113.4892661,1.467437165,2.293668917,-6.75
A_99_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.105258763,0.068060468,2.454786972,1359.716803,19.20413581,1877.243582,0.030642786,-1.464554611,-26.15428668,128.9292221,1.00496459,1.917570329,-3.66
15650,0.048425743,0.236579004,2.431435178,203.3242899,16.978375,630.3025238,0.027750539,-2.18116286,-10.15339464,79.23285755,0.332084969,1.46369974,-28.9
14265,0.047237193,0.262978023,2.436617475,196.4904609,16.978375,286.3685238,0,-0.318436035,-10.63338869,81.2307044,0.333564294,1.347553065,-22.1
8452,0.049712896,0.261202996,2.588657434,164.0047641,16.978375,136.06204,0,-1.044897349,-9.685479284,73.20953985,0.317535633,1.530071653,-20.6
520660,0.054684415,0.313846927,1.993202541,265.01831,18.25460063,118.3536952,0.031819964,-0.920230407,-8.385135433,62.12016234,0.51748211,1.850985097,-21.8
642754,0.050753737,0.374001868,2.028172983,298.886172,18.25460063,463.0032857,0.061864599,-1.343549761,-9.227401158,59.38345652,0.598034073,1.371159271,-19.5
18620262,0.05256299,0.286446814,1.91765912,288.671067,18.25460063,277.8556,0,-1.586586924,-8.811965047,61.14790284,0.538418096,0.744700095,-19.4
10870800,0.065043921,0.024672755,0.763093524,12.16491925,14.50717852,1113.724361,0.041249461,-2.551228157,-0.20328833,11.49153767,0.062897412,0.063022068,-14.87
126715368,0.063661497,0.024210296,0.848526287,12.22768071,15.44422337,1215.093436,0.029734511,-2.607005261,-0.203586506,11.49153767,0.063106541,0.063022068,-14.6
11567,0.048214874,0.320600087,2.307694636,208.884751,16.978375,726.8629071,0.078598846,-1.794209499,-10.62136829,75.11630351,0.305274812,1.29021145,-29.6
280305,0.070934497,0.0233562,0.7471309,12.19346663,15.05591352,984.0841027,0.021332709,-2.712234589,-0.203423957,11.49153767,0.062992536,0.063022068,-12.9
10400,0.046840283,0.338015576,2.355899178,177.4827295,16.978375,291.4611929,0.024252999,-1.245507502,-10.62093823,65.9498917,0.314512025,1.450940589,-22
