Titles,w,HOMO,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,N3_B_AB_nCi_2_SS8_X_LGP[4-6]_a-p_MAS,N3_B_AB_nCi_2_NS8_H_T_KA_e-c_MAS,N3_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,MN_F_AB_nCi_2_SS8_T_KA_r_MAS,S_B_AB_nCi_2_NS6_T_NSRW_a-c_MAS,MN_B_AB_nCi_2_SS6_T_SRW_a-r_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,E
A_142_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.091417645,-0.38722746,12.07359007,0,-0.13568363,2179.929658,0,1.092538136,-0.703386581,-0.332795384,0,0,0,0.597118502,-9.05
A_152_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.042739686,-0.34739121,7.929821877,169.8528813,0,-2440.702685,0.792202893,2.180272451,0.221125056,-0.909830841,48.27901066,0.44852988,1.852508853,1.149369222,-23.54
A_153_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.068109424,-0.365692365,8.2334304,568.3980129,0.260548848,2270.688091,-1.980977526,1.907885711,0.599254518,-0.74977616,32.73696188,0.477036726,2.236541653,1.322861927,-11.86
A_154_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.086789109,-0.369220299,13.76143456,233.0782367,1.81460118,11053.39852,-0.672374848,1.529457361,1.422400306,-0.891790483,17.97522065,0.380538692,1.144311461,1.316270965,-6.06
A_155_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.078032049,-0.379546854,8.411945516,565.8769076,0.59715127,2400.315658,-0.975603342,1.74519315,-0.33523577,-0.251918233,31.64215866,0.284522686,1.415113457,1.13766329,-11.92
A_156_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.084336241,-0.374548949,12.08407863,588.1518777,1.30671158,9270.145049,-0.53903098,1.606410867,0.46738498,-0.879250115,25.71244936,0.339280898,1.174205051,1.237006734,-6.48
A_162_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066131555,-0.369808288,9.21903617,374.5994095,-0.011161619,1313.420192,-1.338247901,2.078591416,-2.22237185,-0.510826243,71.00299159,0.393109738,2.283442896,1.216505836,-14.07
A_163_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.071464792,-0.344635012,6.681031315,141.1945698,0.224275119,-2075.218948,-1.121155972,2.228311872,-1.847593224,-0.365003437,16.04740714,0.282117859,1.449006264,0.963457445,-23.32
A_164_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.078454194,-0.370837268,11.96421764,173.0944992,1.367588861,-3929.949961,-0.818490179,1.56415999,-1.128392969,-0.996155675,14.49685239,0.321392376,1.231019012,1.195875847,-13.44
A_170_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061616409,-0.381715064,15.15969049,599.2296862,-0.451175988,12645.70039,-1.595932421,1.578432394,1.448786149,-0.956033084,23.20413109,0.211885183,1.651380999,1.541344631,-7.69
A_173_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.072975527,-0.328171322,4.320043314,826.4783403,1.445856153,-1571.629242,-0.794859746,2.237460011,0.29164528,-0.404808002,109.5327746,0.891720726,1.335263269,1.175040033,-8.63
A_174_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066079735,-0.311964877,3.823189591,771.0432781,-0.148655874,-3526.259045,0.468916968,2.235662225,-2.684836437,-0.324048667,96.75021406,0.488487384,0.557735956,0.959266501,-12.18
A_177_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05856389,-0.315235565,4.062699841,667.3396768,-1.789307354,-3631.488228,-0.692646511,2.184594846,-0.871813807,-0.426536747,101.1315462,0.423808416,1.207131641,0.959266501,-16.11
A_179_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.060757238,-0.342540301,9.37027875,670.2818046,-0.38870876,3457.364832,-1.338892935,1.665844304,-0.824432481,-0.453210531,67.79450848,1.281900719,3.02621533,1.122598552,-10.37
A_181_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053266051,-0.369293797,5.244364705,136.3358425,-0.055184803,-1931.574943,0.138163538,2.258239824,-0.097568328,-0.302456898,20.25542814,0.13873233,0.224641236,1.245233333,-12.9
A_184_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.067916144,-0.364332641,10.79922101,595.9100213,0.104144577,-6640.23614,0.47809838,2.991965175,-2.82572305,-0.330663638,96.12549832,0.893540463,0.688601859,1.3809,-9.42
A_192_00001,0.117259125,-0.409644538,11.28959695,0,-0.121072847,4920.535745,0,1.122291719,-1.524835671,-0.209353123,0,0,0,0.450464791,-5.46
A_196_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050039585,-0.39409958,6.961563617,103.6923786,0,-1798.97132,-1.672835333,2.289415972,0.022049322,-1.078799426,55.99911409,0.253505915,1.789776433,1.1561375,-16.76
A_197_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.057836501,-0.348750934,9.2093607,120.5149313,0.024473301,-7638.089285,-0.894335691,3.236156834,2.062913067,-0.474372345,73.20866391,0.396763645,1.010462361,1.3809,-24.6
A_199_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038119273,-0.387558204,6.961563617,73.29757783,0,-1403.077843,-1.614489257,2.047513288,0.056857444,-0.88396176,41.95021341,0.245488648,1.823168118,1.1561375,-17.5
A_2_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofil,0.0701555,-0.363818151,6.14248253,152.6277963,0.304591999,-2156.854209,-1.189102313,1.984106782,-2.752522554,-0.400949818,25.36776107,0.356522372,1.719809365,0.864966893,-13.77
A_200_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.037560891,-0.386271978,5.913505351,85.77021194,-0.483941439,-1424.983882,-1.386425974,2.021096861,0.992533871,-0.72455882,36.82225668,0.283189286,1.604647891,1.1561375,-22.1
A_201_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.037563762,-0.385022501,6.199887425,81.88138731,-0.412352094,-1431.38494,-1.398656143,1.877459694,0.55662519,-0.742623701,38.09256224,0.271355887,1.617025509,1.1561375,-19.9
A_202_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038205414,-0.389542666,6.538040991,75.92080856,0,-1281.166009,-1.467466436,2.218359767,0.854221134,-0.712872387,39.66941512,0.269500264,1.672549619,1.1561375,-21
A_205_00001,0.057995546,-0.375357433,11.32675597,458.4234769,-2.267410329,1198.575458,-2.514351904,1.752264614,0.212362563,-0.690583305,28.04864293,0.226279603,3.658987114,0.874271828,-12.23
A_214_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.048875958,-0.307187467,7.003111417,685.869864,-1.086989968,3408.326302,-0.995419202,1.399796534,-2.527806039,-0.509498489,60.01189094,1.519587363,1.926748045,0.829342404,-23.8
A_215_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050041648,-0.353932587,7.704082565,522.0932605,-1.80287672,2895.231234,-2.268677787,1.339101128,-0.441349076,-0.419436185,42.67888234,1.351953844,2.605810295,1.138750932,-18.98
A_216_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050943333,-0.317293526,7.210540234,664.3140706,-1.082218497,3526.762563,-0.87693542,1.402812241,-2.346551316,-0.509498489,62.89432285,1.482993837,1.868849261,0.919441273,-23.1
