Titles,w,HOMO,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,N3_B_AB_nCi_2_SS8_X_LGP[4-6]_a-p_MAS,N3_B_AB_nCi_2_NS8_H_T_KA_e-c_MAS,N3_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,MN_F_AB_nCi_2_SS8_T_KA_r_MAS,S_B_AB_nCi_2_NS6_T_NSRW_a-c_MAS,MN_B_AB_nCi_2_SS6_T_SRW_a-r_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,E
A_33_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.058282816,-0.358673247,11.09253771,264.7083081,-0.541919822,-6607.463176,-1.350984716,2.392787595,3.254076153,-0.945017324,48.46922208,0.429142717,1.385476179,1.192305596,-24.69
A_36_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.06687514,-0.356505038,7.711561934,341.2287779,-0.095472109,-6407.640991,-0.754010397,2.403896504,0.507473793,-0.389064385,57.8120594,0.335025793,0.976161175,1.258562614,-17.64
A_39_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.076477699,-0.374548949,10.62707372,233.5229229,-0.063329658,-2452.618466,-0.829305428,1.174976593,0.244569584,-0.582337595,62.37138463,0.390549283,0.961300732,0.417671646,-19.36
A_4_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofil,0.054622619,-0.347942449,12.12336178,969.8270976,-0.714748996,10992.21304,0.817817832,2.226360417,-1.964031933,-0.793720001,64.54340209,1.043708971,1.30431177,1.235537051,-13.88
A_41_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.07626075,-0.374769444,10.80686113,206.3709784,-0.063414175,-2511.271478,-1.069129984,1.174995029,0.614272619,-0.549437166,60.86014562,0.347224699,1.218975349,0.417671646,-19.17
A_42_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.054487528,-0.345149502,5.247193536,163.4274429,-0.028417212,-3190.692767,-1.672888434,2.221443113,1.683267549,-0.753003317,60.82034908,0.310875035,1.790076812,1.1561375,-23.01
A_43_00001,0.050229096,-0.318910496,12.35127543,196.4850654,-0.586003144,-5631.363076,0.757559133,2.29303933,1.940002339,-0.945017324,21.10142034,0.123411432,0.966794729,1.217931632,-15.09
A_44_00001,0.053005191,-0.342136059,12.53670943,193.6522844,-0.592136506,-5198.154524,0.399135772,2.228209428,1.993592557,-0.945017324,21.35335329,0.239298785,0.621215928,1.209233488,-13.05
A_46_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.046170716,-0.344451265,8.256144655,130.5655842,-0.427363685,-4699.830561,-0.271455275,1.649578801,0.546555863,-0.300950264,26.64281021,0.052976299,0.386815544,0.398369888,-15.89
A_47_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.052347419,-0.358673247,9.375908742,340.0947175,-1.982499164,-4122.721284,-2.200821343,1.750143975,0.792609794,-0.690583305,29.87057174,0.208041027,2.89593112,0.879992009,-14.22
A_74_00001,0.110465085,-0.37657016,10.95718493,0,-0.431199635,5793.36113,0,1.071800284,-2.789838614,-0.211092024,0,0,0,0.401075153,-5.06
A_79_00001,0.048478049,-0.326517603,9.333188615,466.1767917,-0.945757405,-2426.303084,-2.225293021,1.239775754,0.744962946,-0.614255188,53.11925635,0.714556991,2.986902068,0.896817379,-13.28
A_80_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.049141035,-0.34952267,9.243864714,382.9546894,-1.352139998,-2382.338635,-1.853440617,1.202301059,-0.346437343,-0.639588814,56.63457788,0.678013129,3.151392556,0.976922291,-13.9
A_81_00001,0.056945608,-0.366059858,9.556164459,393.5188758,-0.918601175,-1686.006135,-2.213193069,1.162941259,0.228989328,-0.614255188,56.60036625,0.700042948,2.953480237,0.909444992,-14.91
A_82_00001,0.046521738,-0.322769173,9.212422616,440.8902418,-0.882375068,-3133.416912,-1.841103627,1.266009514,-0.259098452,-0.639588814,54.45719751,0.686984248,2.917666527,0.982376953,-15.38
A_83_00001,0.054105912,-0.353601843,9.206770088,521.7572978,-1.015880075,-1486.299739,-1.653901421,1.182427346,-1.57489163,-0.517522088,70.14224747,0.81150105,2.366833096,0.909444992,-14.9
A_85_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.103583968,-0.454221449,12.66536261,0,-0.069296811,4937.502735,0,1.11658649,-1.827272265,-0.1886412,0,0,0,0.316569565,-13.19
A_88_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.037734885,-0.384324264,6.035067108,142.3706903,-0.191041369,-665.1558205,-1.95063829,2.012671478,1.039662897,-0.65027072,37.40148265,0.419346568,2.467706737,0.811309211,-18.2
A_93_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.034447492,-0.345994736,5.785495796,77.12871036,-0.000793868,-1874.486609,-1.958583142,2.112716879,0.932338933,-0.912292615,36.21364247,0.466756347,2.407116136,0.921310191,-18.4
A_98_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.077979912,-0.345847739,3.708331489,1243.814794,2.422990672,4960.960021,-1.28270827,2.426835499,0.342629758,-0.298145431,113.4892661,1.467437165,2.293668917,1.322689247,-6.75
A_99_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.105258763,-0.376276166,9.703264474,1359.716803,1.137223226,9662.769776,-1.155979805,2.257018522,1.230401403,-0.262835229,128.9292221,1.00496459,1.917570329,1.318834559,-3.66
15650,0.048425743,-0.372711483,6.199887425,203.3242899,-0.355343007,-2137.39,-1.349392469,2.305613659,1.077152413,-0.6615672,79.23285755,0.332084969,1.46369974,1.1561375,-28.9
14265,0.047237193,-0.36808107,6.199887425,196.4904609,0,-1666.653139,-1.294157997,2.197958123,0.371366197,-0.716129443,81.2307044,0.333564294,1.347553065,1.1561375,-22.1
8452,0.049712896,-0.383699526,6.538040991,164.0047641,0,-1795.807692,-1.39955246,2.281810135,0.365391767,-0.658295053,73.20953985,0.317535633,1.530071653,1.1561375,-20.6
520660,0.054684415,-0.398252252,8.107355735,265.01831,-0.310209708,-1915.480877,-1.586112248,1.837016434,-0.044879753,-0.717267191,62.12016234,0.51748211,1.850985097,0.908979706,-21.8
642754,0.050753737,-0.392372363,7.838040253,298.886172,-0.34976491,-1833.431663,-1.084310329,1.789643489,-0.593135655,-0.82595581,59.38345652,0.598034073,1.371159271,0.908979706,-19.5
18620262,0.05256299,-0.396855779,8.107355735,288.671067,0,-1195.049776,-0.653074124,1.806580616,-1.608197958,-0.819553052,61.14790284,0.538418096,0.744700095,0.908979706,-19.4
10870800,0.065043921,-0.346104984,11.82333818,12.16491925,1.578691759,1516.811259,0.059480626,1.587523853,-1.784159186,-0.862960081,11.49153767,0.062897412,0.063022068,0.623985051,-14.87
126715368,0.063661497,-0.344304268,11.82259591,12.22768071,0.834472534,-4852.471148,0.059480626,1.650919005,-2.065083991,-0.86115094,11.49153767,0.063106541,0.063022068,0.616445526,-14.6
11567,0.048214874,-0.372049996,5.913505351,208.884751,-0.577444313,-2527.376001,-1.164961612,2.323394748,-0.089113511,-0.668555586,75.11630351,0.305274812,1.29021145,1.1561375,-29.6
280305,0.070934497,-0.354520576,11.36930944,12.19346663,-0.635153999,-5230.794708,0.059480626,1.561819551,-2.266712178,-0.860850154,11.49153767,0.062992536,0.063022068,0.456934423,-12.9
10400,0.046840283,-0.382045807,5.913505351,177.4827295,-0.386736965,-2087.000629,-1.282050874,2.297089118,0.522818656,-0.707667182,65.9498917,0.314512025,1.450940589,1.1561375,-22
