Titles,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_NS1_A_LGP[1;2;6]_r-e_MAS,N3_B_AB_nCi_2_MP3_C_LGP[1]_v-c_MAS,P3_B_AB_nCi_2_SS2_C_LGP[1;2;6]_v-p_MAS,S_B_AB_nCi_2_NS7_C_LGP[1;2;6]_r-c_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,SIC_TrF_AB_nCi_3_M21(M13)_NS0_T_KA_psa_MID,RA_Tr_AB_nCi_3_M27_SS0_A_KA_a-e-v_MID,w,E
A_11_00001,108.639470039596,1.831061476512192,0.0095068400776458,39.022679605629335,1.235012530097806,0.1980588035807334,1.17175625,0.0,0.5013604527588812,0.2712718119323117,1.54
A_112_00001,-586.6536869968966,6.504773963891514,0.0354925096088312,71.73415421736286,-0.5532109025680781,0.3974792601702627,0.6920255943395656,1.0,5.22454837412208,0.2335559875576869,-4.95
A_119_00001,462.7245590269512,6.082692925672412,0.0708036599709883,35.7199476282858,3.08340251090239,0.4583480172625823,0.5506066373211277,0.5373225573888248,17.639784140825615,0.1769972631453104,-11.79
A_120_00001,474.6989033369459,6.431926593333259,0.0667560168196931,35.691229127168015,3.113984408808132,0.4657533462294447,0.4914883619106405,0.1549480293895168,17.565595805875557,0.1667023282573823,-11.48
A_121_00001,466.739925731936,2.684520368045918,0.0619156947061542,37.40069063515077,3.3089703293670545,0.4631734205368701,0.707742457172933,0.1428772560846304,17.209985952228312,0.1976282652181731,-10.09
A_123_00001,92.94210842802823,0.0,0.0219933821797518,68.78846536529072,0.4789754460119581,0.2640601417196568,1.529925258839131,0.4149153817759057,0.0,0.2822219780017032,-5.91
A_125_00001,-267.7327140502843,6.250403352239846,-0.0717410321623159,56.26069904410863,-1.91158026081291,0.2895359219374358,0.4955668399539293,0.452756178836436,17.101438351777773,0.2106016277025194,-6.26
A_126_00001,-266.8552930169503,5.933004842421068,-0.0733711761332569,55.39547203140845,-1.895270190463597,0.2888328564108346,0.4552780378001869,0.4448235712050656,16.427349945506307,0.2231823574643208,-3.02
A_13_00001,111.44008893467098,1.8310614765121924,0.0088807807195616,38.80678141314853,1.4328705693248844,0.23256082868457,1.17175625,0.0,1.962573254526361,0.2902648485917176,2.54
A_14_00001,271.5595514007136,1.914180097469788,0.0461760166057794,35.81577772000257,2.664370161413821,0.2613374850136009,0.9756075,0.0,2.559283812812433,0.2686200683461887,1.33
A_143_00001,136.71159043761924,5.941328981285578,-0.0127388644565468,40.807258716736776,0.7367765505322978,0.1772109160483491,0.941103848068971,0.5731793710505211,4.429594363682273,0.2378532933790978,-4.51
A_144_00001,135.28708238871735,5.313362042045034,-0.0071608389605097,36.90164419229689,0.9548266775379692,0.2454763341975389,0.8614704369242033,0.0628814817015675,4.766636118347188,0.2867589608306488,0.85
A_145_00001,131.93136825856587,0.0,0.0090226514592449,38.45594222850852,1.0733208054408483,0.1702814812366622,0.0,0.0,0.0,0.2770345447868326,2.41
A_146_00001,-382.7599548419845,6.661760151437437,-0.0619414943802705,63.39391718675928,-3.2344474510053205,0.3301707328756922,0.4685181837837673,0.7932585829555082,16.915705727189653,0.2002393625267151,-10.23
A_147_00001,-292.661234642609,4.547151424886987,-0.0572759207281448,72.45774034670099,-2.7351551723289806,0.5065906347716626,0.2737952470898474,0.6555036532577265,17.268034852262357,0.1947619162784407,-8.2
A_148_00001,-203.33913364997235,6.141634176657389,-0.0761773691637497,70.31244626010267,-2.532314599872957,0.772285524530164,0.5328965935612894,0.6143644582987068,17.30838673847289,0.2218625592112317,-7.37
A_149_00001,-231.83108198224008,6.166498348671773,-0.0690128869948434,92.75529989939446,-2.5616766236790376,0.7925372135611842,0.5422604826164666,0.6620703008375148,17.731991895235474,0.2168052381532556,-5.52
A_15_00001,339.3741274803712,1.9141800974697885,0.0524071624713492,33.60678433716871,1.5933524963069137,0.2617998690140632,0.9756075,0.0,3.0449623308641964,0.2850702393306595,2.28
A_150_00001,-264.1238788298768,6.141634176657389,-0.0708550567563825,86.12420929609134,-2.6207259798685003,0.7927703094715145,0.5328965935612894,0.6620703008375148,17.12516954262918,0.21854962879343,-7.67
A_151_00001,-222.710915049016,5.788572583940077,-0.1607646894196036,64.07096961632315,-1.8352119000784304,0.357196512601004,0.2910895338351446,0.5090740029936311,18.19640597912809,0.2228474470055711,-9.2
A_159_00001,21.398665630315385,4.130455183203241,0.0163264908172404,25.702133259443933,-0.6844962519078646,0.0897275805455167,0.207625392780433,0.1411817415046077,20.221852986444443,0.2281437506935351,-10.46
A_16_00001,106.58012468576472,1.831061476512192,0.0097944536369268,39.32001847368631,1.1159083871302435,0.1698575600816614,1.17175625,0.0,0.7460249026666658,0.2584946447230941,0.35
A_160_00001,0.0,5.815510636339067,0.0,0.0,0.0,0.0,0.400899446476372,0.15876032857139,23.291355887860075,0.2522067699466885,-5.29
A_161_00001,0.0,3.960123633686055,0.0,0.0,0.0,0.0,0.1984217375247799,0.2107580961471984,18.04417178560091,0.2457961454113899,-9.89
A_165_00001,83.01007573238941,5.62443833521814,-0.0264000200552699,28.371384729382065,-0.3452294444098805,0.2851155758321804,0.2782639066790227,0.4449238814187272,15.863006858864193,0.2301542955478083,-7.15
A_167_00001,-240.4290552216473,5.641399761689228,-0.1804093802024111,62.836333148304085,-2.3524080583620908,0.168413988066219,0.2839873638941789,0.5090740029936311,18.346137717399696,0.2135071285416594,-9.35
A_168_00001,-249.26279517199364,5.641399761689228,-0.176205550153517,63.78775359007297,-2.358464565297682,0.182109277075528,0.2839873638941789,0.4935211481623647,18.57172476949376,0.2099810932236533,-9.6
A_17_00001,107.29567097735688,1.831061476512192,0.0094028294177421,39.4086185524746,1.2445111773648525,0.1764480351127705,1.17175625,0.0,0.5013604527588812,0.2647688331150418,0.17
A_171_00001,-136.4460430667838,6.471585386384879,-0.8054550440324643,72.45727030149878,-1.0630411719403494,0.0766264089578448,0.3874186091693565,0.6554587535412856,26.69870989755556,0.2363851718945678,-5.77
A_175_00001,44.85738217328382,5.313362042045034,-0.016205362740803,27.22247556045449,0.4141751065209877,0.2350488965357768,0.8614704369242033,0.2317923267972161,5.409628110908644,0.2581276092911961,2.11
A_176_00001,47.32554239413664,5.628689221457056,-0.0105508442063559,27.931384725191545,1.373572986310516,0.2355087565257106,0.8266215435746541,0.2145488013242999,5.157736166267219,0.2452303170447784,0.61
A_178_00001,46.44837905675202,5.313362042045034,-0.0152284844140067,26.22656349029881,-0.085000699187121,0.2352636509240095,0.8614704369242033,0.2170981822525907,5.948033721684021,0.2549694631556148,1.48
A_18_00001,108.01123496432297,1.831061476512192,0.0090415635978002,39.49721778765584,1.3541647144358455,0.1830594558448869,1.17175625,0.0,1.2650453935950403,0.2704666622259953,0.05
A_182_00001,40.78796877178699,0.0,0.0088684188679021,28.193775547481348,0.7729628406245914,0.107083816092256,0.0,0.0,0.0,0.2733886775103566,5.47
A_185_00001,205.28893472621297,4.970325940173466,0.1094809015883615,77.91350022653887,3.5058996859427154,0.5940793089943518,0.3513092555175293,0.6012596669039001,19.64340336025021,0.1527603457050763,-18.9
A_186_00001,266.0241185014683,5.5671189326965616,0.1014080321972049,52.34446636671862,3.620093589976096,0.5729777667576297,0.522587146313723,0.3976367270261907,18.837787518334373,0.1726136789726436,-19.1
A_189_00001,538.6264859099363,4.974755246578982,0.1698762002553325,73.87127630870519,3.2105940341269004,0.8839012430761893,0.3970387955462621,0.7280175133855432,19.244179971049988,0.1640847139484433,-17.3
